inf,sup,estimation,mesure,names
38.09913368586435,43.76794198097114,41.02479592265573,41.1,mu[1]
46.26465052121199,52.65783104528854,49.81883361772119,55.6,mu[2]
48.38703146254933,53.71889369570686,51.077482029850856,49.5,mu[3]
50.744004345592984,56.343424105522786,53.62612239878587,56.1,mu[4]
52.901759393137894,57.45718189776975,55.317507111896234,63.4,mu[5]
54.0449527034561,58.087189776457116,56.097662863499636,63.4,mu[6]
54.57329595604612,58.573648192415085,56.54025138468572,55.7,mu[7]
55.10177428510591,59.076434588775186,57.04788188715479,52,mu[8]
55.73576177363091,59.95305352008417,57.78095743036391,66.9,mu[9]
56.27118192775854,60.56656922157566,58.27753523441401,52.3,mu[10]
57.238723310331075,62.68013907121362,59.80441135204191,57.9,mu[11]
60.34244073178253,68.52318601577856,64.6371502750136,77.6,mu[12]
62.129771719897775,69.75650447963996,66.05024161178777,62.7,mu[13]
66.97913137968688,78.05493106471376,72.53398768968096,79.5,mu[14]
71.17514827655953,80.11029849342849,75.67199030755125,94.1,mu[15]
72.39874206719736,80.88048287020301,76.85346389227375,78.1,mu[16]
73.7740797900054,82.47789024467352,77.94540994484224,68.2,mu[17]
