inf,sup,estimation,mesure,names
38.216147852920145,43.653293232420715,40.96279321335555,41.1,mu[1]
48.469110129564946,59.74753511154748,54.15233219751117,55.6,mu[2]
46.19423111607881,52.82521873135539,49.471101195693166,49.5,mu[3]
49.68168514593596,60.84392166366831,55.098557219373035,56.1,mu[4]
55.211290586303406,67.81615210673083,61.565784149095336,63.4,mu[5]
57.2875032523283,67.57398216845986,62.08935810276884,63.4,mu[6]
52.19991206643162,59.837426861187616,56.0494568591113,55.7,mu[7]
48.19920100743907,58.064018542339866,53.07994303301188,52,mu[8]
58.90266076353142,72.23158640407871,65.27506361889903,66.9,mu[9]
49.14025412437233,57.17608561153605,53.09045732100499,52.3,mu[10]
54.3599156180724,62.674036015343134,58.70096584559887,57.9,mu[11]
67.56005767849655,83.4391080495672,74.90818895650838,77.6,mu[12]
59.55418273945755,68.2085391724857,63.617826850612424,62.7,mu[13]
69.83463409063518,87.45599394875524,78.59223461883826,79.5,mu[14]
80.21104530746598,100.1301882579594,89.47315549200843,94.1,mu[15]
73.12782914559199,86.77042863838558,79.90862583714402,78.1,mu[16]
63.74800799159992,76.48288662295309,70.38068880375235,68.2,mu[17]
